fiber ra dec sky row r "r group"
52 0.0 0.0 0 47 0.0 12
31 0.0 -5.63 0 27 5.63 4
47 0.0 5.63 0 42 5.63 4
26 4.93 2.81 0 22 5.67459249638 4
43 -4.93 2.81 0 38 5.67459249638 4
46 4.93 -2.81 0 41 5.67459249638 4
66 -4.93 -2.81 0 60 5.67459249638 4
25 4.93 -8.44 0 21 9.77437977572 3
41 4.93 8.44 0 36 9.77437977572 3
51 -4.93 -8.44 0 46 9.77437977572 3
62 -4.93 8.44 0 56 9.77437977572 3
1 9.85 0.0 0 0 9.85 3
45 -9.85 0.0 0 40 9.85 3
44 0.0 11.26 0 39 11.26 11
48 0.0 -11.26 0 43 11.26 11
42 0.0 16.89 0 37 16.89 6
79 0.0 -16.89 0 72 16.89 6
23 14.78 8.44 0 19 17.0200470035 6
24 14.78 -8.44 0 20 17.0200470035 6
63 -14.78 8.44 0 57 17.0200470035 6
64 -14.78 -8.44 0 58 17.0200470035 6
21 9.85 16.89 0 18 19.5523553568 5
33 9.85 -16.89 0 29 19.5523553568 5
56 -9.85 16.89 0 50 19.5523553568 5
71 -9.85 -16.89 0 64 19.5523553568 5
28 19.71 0.0 0 24 19.71 5
82 -19.71 0.0 0 74 19.71 5
18 4.93 25.33 0 15 25.805305656 0
32 4.93 -25.33 0 28 25.805305656 0
40 -4.93 25.33 0 35 25.805305656 0
49 -4.93 -25.33 0 44 25.805305656 0
15 24.49 -8.44 0 13 25.9035460893 0
27 19.71 16.89 0 23 25.9568141342 0
30 19.71 -16.89 0 26 25.9568141342 0
60 -19.71 16.89 0 54 25.9568141342 0
68 -19.71 -16.89 0 62 25.9568141342 0
4 24.64 8.44 0 2 26.0454065048 0
61 -24.64 -8.44 0 55 26.0454065048 0
65 -24.64 8.44 0 59 26.0454065048 0
20 14.78 25.33 0 17 29.3267335378 7
34 14.78 -25.33 0 30 29.3267335378 7
58 -14.78 25.33 0 52 29.3267335378 7
67 -14.78 -25.33 0 61 29.3267335378 7
8 29.56 0.0 0 6 29.56 7
73 -29.56 0.0 0 66 29.56 7
38 0.0 33.77 0 33 33.77 2
53 0.0 -33.77 0 48 33.77 2
5 29.56 16.89 0 3 34.0450539726 2
14 29.56 -16.89 0 12 34.0450539726 2
75 -29.56 16.89 0 68 34.0450539726 2
77 -29.56 -16.89 0 70 34.0450539726 2
19 9.85 33.77 0 16 35.1772000023 1
29 9.85 -33.77 0 25 35.1772000023 1
39 -9.85 33.77 0 34 35.1772000023 1
50 -9.85 -33.77 0 45 35.1772000023 1
7 24.64 25.33 0 5 35.3374942519 1
11 24.64 -25.33 0 9 35.3374942519 1
55 -24.64 25.33 0 49 35.3374942519 1
81 -24.64 -25.33 0 73 35.3374942519 1
9 34.49 8.44 0 7 35.5076569207 1
13 34.49 -8.44 0 11 35.5076569207 1
74 -34.49 -8.44 0 67 35.5076569207 1
76 -34.49 8.44 0 69 35.5076569207 1
17 19.71 33.77 0 14 39.1011125161 10
35 19.71 -33.77 0 31 39.1011125161 10
36 -19.71 33.77 0 32 39.1011125161 10
69 -19.71 -33.77 0 63 39.1011125161 10
3 34.49 25.33 0 1 42.792160497 9
10 34.49 -25.33 0 8 42.792160497 9
59 -34.49 25.33 0 53 42.792160497 9
78 -34.49 -25.33 0 71 42.792160497 9
6 29.56 33.77 0 4 44.8799119874 8
12 29.56 -33.77 0 10 44.8799119874 8
57 -29.56 33.77 0 51 44.8799119874 8
72 -29.56 -33.77 0 65 44.8799119874 8
16 0.0 61.92 1 -9999 61.92 -9999
80 -64.05 2.81 1 -9999 64.111610493 -9999
2 -29.56 61.92 1 -9999 68.613992742 -9999
22 29.56 61.92 1 -9999 68.613992742 -9999
70 -64.05 -30.96 1 -9999 71.1401721955 -9999
54 -64.05 36.59 1 -9999 73.7646975185 -9999
37 -59.12 61.92 1 -9999 85.6111020838 -9999
